^SPX
QQQ
SPY
SH
TQQQ
SQQQ
FNGU
SOXL
BTC-USD
ETH-USD
SOL-USD
IBIT
ETHA
CLS
OPFI
RR
NBIS
OKLO
QBTS
QUBT
IONQ
TEM
FIG
JOBY
UNH
NOV
CRWV
BMNR
SBET
SMR
PGY
RKT
ORCL
GDXU
IREN
AA
AAL
AAOI
AAPL
ACHR
ADBE
AFRM
ALAB
AMD
AMZN
APP
ASML
ASTS
AVGO
BA
BABA
BILI
ONC
CAT
CLSK
COIN
COST
CRM
CRWD
DELL
DIS
DJT
DKNG
DUO
DUOL
DXYZ
FUTU
GME
GOOGL
HIMS
HOLO
INTC
JD
LI
LLY
LULU
LUNR
MARA
MCD
META
MRVL
MSFT
MSTR
MU
NVDA
OPEN
OXY
PANW
PHUN
PLTR
PYPL
QCOM
QMCO
RDDT
RGTI
RIVN
RKLB
SBUX
SE
SERV
SHOP
SMCI
SNOW
SOFI
SOUN
XYZ
TIGR
TLRY
TSLA
TSM
U
UPST
VRT
VST
WMT
XIACY
XPEV
AREC
USAR
CRML
COPX
FCX
AGQ
SLV
GDX
GDXU
UGL
UUUU
