MSFT
ADBE
CRM
NOW
INTU
ORCL
TEAM
ZM
DOCU
BOX
WDAY
ASAN
SNOW
DDOG
MDB
OKTA
PANW
ZS
NET
CRWD
PLTR
AI
PATH
DUOL
