AS
ASX
ATAT
BABA
BEKE
BIDU
BILI
BZ
CHA
DIDIY
EDU
FUTU
GDS
HSAI
HTHT
JD
KC
LEGN
LI
LKNCY
MNSO
NIO
NTES
PDD
PONY
QFIN
TAL
TCOM
TME
TSM
UMC
VIPS
XPEV
YMM
YUMC
ZLAB
ZTO
