BTC-USD
ETH-USD
SOL-USD
HOOD
PYPL
COIN
HUT
WULF
XYZ
APLD
IREN
CORZ
CIFR
CRCL
BMNR
BLSH
FIGR
BTDR
BITE
GLXY
BTBT
HIVE
MSTR
MARA
CLSK
RIOT
SBET
